metric,iteration,pole,mean,std,n
levenshtein,0,eval_exact_match,0.815,0.0,1
levenshtein,10,eval_exact_match,0.835,0.0,1
levenshtein,20,eval_exact_match,0.835,0.0,1
levenshtein,30,eval_exact_match,0.835,0.0,1
levenshtein,40,eval_exact_match,0.85,0.0,1
levenshtein,50,eval_exact_match,0.81,0.0,1
levenshtein,60,eval_exact_match,0.835,0.0,1
levenshtein,70,eval_exact_match,0.87,0.0,1
levenshtein,80,eval_exact_match,0.865,0.0,1
levenshtein,90,eval_exact_match,0.895,0.0,1
levenshtein,100,eval_exact_match,0.865,0.0,1
levenshtein,110,eval_exact_match,0.87,0.0,1
levenshtein,120,eval_exact_match,0.885,0.0,1
levenshtein,130,eval_exact_match,0.86,0.0,1
levenshtein,140,eval_exact_match,0.895,0.0,1
levenshtein,0,eval_content_f1,0.96,0.0,1
levenshtein,10,eval_content_f1,0.9575,0.0,1
levenshtein,20,eval_content_f1,0.9545,0.0,1
levenshtein,30,eval_content_f1,0.9535,0.0,1
levenshtein,40,eval_content_f1,0.955237,0.0,1
levenshtein,50,eval_content_f1,0.945,0.0,1
levenshtein,60,eval_content_f1,0.952,0.0,1
levenshtein,70,eval_content_f1,0.9625,0.0,1
levenshtein,80,eval_content_f1,0.968,0.0,1
levenshtein,90,eval_content_f1,0.9705,0.0,1
levenshtein,100,eval_content_f1,0.9685,0.0,1
levenshtein,110,eval_content_f1,0.962,0.0,1
levenshtein,120,eval_content_f1,0.9665,0.0,1
levenshtein,130,eval_content_f1,0.959,0.0,1
levenshtein,140,eval_content_f1,0.9715,0.0,1
levenshtein,0,reward_mean,0.678906,0.0,1
levenshtein,1,reward_mean,0.695312,0.0,1
levenshtein,2,reward_mean,0.642578,0.0,1
levenshtein,3,reward_mean,0.635547,0.0,1
levenshtein,4,reward_mean,0.654297,0.0,1
levenshtein,5,reward_mean,0.596875,0.0,1
levenshtein,6,reward_mean,0.624805,0.0,1
levenshtein,7,reward_mean,0.621378,0.0,1
levenshtein,8,reward_mean,0.607419,0.0,1
levenshtein,9,reward_mean,0.607031,0.0,1
levenshtein,10,reward_mean,0.656641,0.0,1
levenshtein,11,reward_mean,0.646484,0.0,1
levenshtein,12,reward_mean,0.642969,0.0,1
levenshtein,13,reward_mean,0.594531,0.0,1
levenshtein,14,reward_mean,0.610547,0.0,1
levenshtein,15,reward_mean,0.626953,0.0,1
levenshtein,16,reward_mean,0.627183,0.0,1
levenshtein,17,reward_mean,0.625781,0.0,1
levenshtein,18,reward_mean,0.658984,0.0,1
levenshtein,19,reward_mean,0.644141,0.0,1
levenshtein,20,reward_mean,0.662891,0.0,1
levenshtein,21,reward_mean,0.636696,0.0,1
levenshtein,22,reward_mean,0.64343,0.0,1
levenshtein,23,reward_mean,0.629297,0.0,1
levenshtein,24,reward_mean,0.589187,0.0,1
levenshtein,25,reward_mean,0.658259,0.0,1
levenshtein,26,reward_mean,0.627734,0.0,1
levenshtein,27,reward_mean,0.630859,0.0,1
levenshtein,28,reward_mean,0.59338,0.0,1
levenshtein,29,reward_mean,0.616623,0.0,1
levenshtein,30,reward_mean,0.631308,0.0,1
levenshtein,31,reward_mean,0.61582,0.0,1
levenshtein,32,reward_mean,0.639773,0.0,1
levenshtein,33,reward_mean,0.628125,0.0,1
levenshtein,34,reward_mean,0.666406,0.0,1
levenshtein,35,reward_mean,0.626172,0.0,1
levenshtein,36,reward_mean,0.649645,0.0,1
levenshtein,37,reward_mean,0.62017,0.0,1
levenshtein,38,reward_mean,0.632031,0.0,1
levenshtein,39,reward_mean,0.667188,0.0,1
levenshtein,40,reward_mean,0.589844,0.0,1
levenshtein,41,reward_mean,0.639173,0.0,1
levenshtein,42,reward_mean,0.667188,0.0,1
levenshtein,43,reward_mean,0.671484,0.0,1
levenshtein,44,reward_mean,0.666797,0.0,1
levenshtein,45,reward_mean,0.630469,0.0,1
levenshtein,46,reward_mean,0.642578,0.0,1
levenshtein,47,reward_mean,0.627344,0.0,1
levenshtein,48,reward_mean,0.617072,0.0,1
levenshtein,49,reward_mean,0.640625,0.0,1
levenshtein,50,reward_mean,0.665625,0.0,1
levenshtein,51,reward_mean,0.64375,0.0,1
levenshtein,52,reward_mean,0.646745,0.0,1
levenshtein,53,reward_mean,0.675391,0.0,1
levenshtein,54,reward_mean,0.649609,0.0,1
levenshtein,55,reward_mean,0.646484,0.0,1
levenshtein,56,reward_mean,0.62826,0.0,1
levenshtein,57,reward_mean,0.666858,0.0,1
levenshtein,58,reward_mean,0.632143,0.0,1
levenshtein,59,reward_mean,0.636719,0.0,1
levenshtein,60,reward_mean,0.663235,0.0,1
levenshtein,61,reward_mean,0.637109,0.0,1
levenshtein,62,reward_mean,0.644922,0.0,1
levenshtein,63,reward_mean,0.644723,0.0,1
levenshtein,64,reward_mean,0.593527,0.0,1
levenshtein,65,reward_mean,0.62793,0.0,1
levenshtein,66,reward_mean,0.65103,0.0,1
levenshtein,67,reward_mean,0.660156,0.0,1
levenshtein,68,reward_mean,0.628125,0.0,1
levenshtein,69,reward_mean,0.624907,0.0,1
levenshtein,70,reward_mean,0.620486,0.0,1
levenshtein,71,reward_mean,0.651953,0.0,1
levenshtein,72,reward_mean,0.633467,0.0,1
levenshtein,73,reward_mean,0.641016,0.0,1
levenshtein,74,reward_mean,0.610547,0.0,1
levenshtein,75,reward_mean,0.60625,0.0,1
levenshtein,76,reward_mean,0.656214,0.0,1
levenshtein,77,reward_mean,0.642188,0.0,1
levenshtein,78,reward_mean,0.659208,0.0,1
levenshtein,79,reward_mean,0.68072,0.0,1
levenshtein,80,reward_mean,0.6375,0.0,1
levenshtein,81,reward_mean,0.649198,0.0,1
levenshtein,82,reward_mean,0.663783,0.0,1
levenshtein,83,reward_mean,0.656671,0.0,1
levenshtein,84,reward_mean,0.642913,0.0,1
levenshtein,85,reward_mean,0.649747,0.0,1
levenshtein,86,reward_mean,0.620703,0.0,1
levenshtein,87,reward_mean,0.615123,0.0,1
levenshtein,88,reward_mean,0.68298,0.0,1
levenshtein,89,reward_mean,0.700781,0.0,1
levenshtein,90,reward_mean,0.676562,0.0,1
levenshtein,91,reward_mean,0.597692,0.0,1
levenshtein,92,reward_mean,0.667578,0.0,1
levenshtein,93,reward_mean,0.631641,0.0,1
levenshtein,94,reward_mean,0.666797,0.0,1
levenshtein,95,reward_mean,0.651423,0.0,1
levenshtein,96,reward_mean,0.662415,0.0,1
levenshtein,97,reward_mean,0.645201,0.0,1
levenshtein,98,reward_mean,0.659654,0.0,1
levenshtein,99,reward_mean,0.670117,0.0,1
levenshtein,100,reward_mean,0.676215,0.0,1
levenshtein,101,reward_mean,0.67726,0.0,1
