metric,iteration,pole,mean,std,n
levenshtein,0,eval_exact_match,0.803333,0.010274,3
levenshtein,10,eval_exact_match,0.793333,0.054365,3
levenshtein,20,eval_exact_match,0.823333,0.022485,3
levenshtein,30,eval_exact_match,0.838333,0.006236,3
levenshtein,40,eval_exact_match,0.85,0.018708,3
levenshtein,50,eval_exact_match,0.863333,0.009428,3
levenshtein,60,eval_exact_match,0.866667,0.012472,3
levenshtein,70,eval_exact_match,0.87,0.004082,3
levenshtein,80,eval_exact_match,0.876667,0.006236,3
levenshtein,90,eval_exact_match,0.888333,0.013123,3
levenshtein,100,eval_exact_match,0.891667,0.015456,3
levenshtein,110,eval_exact_match,0.888333,0.006236,3
levenshtein,120,eval_exact_match,0.88,0.010801,3
levenshtein,130,eval_exact_match,0.891667,0.011785,3
levenshtein,140,eval_exact_match,0.9,0.007071,3
levenshtein,150,eval_exact_match,0.9,0.008165,3
levenshtein,160,eval_exact_match,0.905,0.004082,3
levenshtein,170,eval_exact_match,0.913333,0.008498,3
levenshtein,180,eval_exact_match,0.91,0.01472,3
levenshtein,190,eval_exact_match,0.903333,0.020138,3
levenshtein,200,eval_exact_match,0.905,0.01472,3
levenshtein,210,eval_exact_match,0.896667,0.018409,3
levenshtein,220,eval_exact_match,0.893333,0.016499,3
levenshtein,230,eval_exact_match,0.908333,0.008498,3
levenshtein,240,eval_exact_match,0.888333,0.008498,3
levenshtein,250,eval_exact_match,0.896667,0.010274,3
levenshtein,260,eval_exact_match,0.905,0.010801,3
levenshtein,270,eval_exact_match,0.9,0.004082,3
levenshtein,280,eval_exact_match,0.905,0.004082,3
levenshtein,290,eval_exact_match,0.908333,0.012472,3
levenshtein,300,eval_exact_match,0.911667,0.009428,3
levenshtein,310,eval_exact_match,0.923333,0.004714,3
levenshtein,320,eval_exact_match,0.921667,0.006236,3
levenshtein,330,eval_exact_match,0.915,0.012247,3
levenshtein,340,eval_exact_match,0.915,0.004082,3
levenshtein,350,eval_exact_match,0.915,0.01472,3
levenshtein,360,eval_exact_match,0.916667,0.008498,3
levenshtein,370,eval_exact_match,0.923333,0.004714,3
levenshtein,380,eval_exact_match,0.925,0.004082,3
levenshtein,390,eval_exact_match,0.923333,0.016997,3
levenshtein,400,eval_exact_match,0.926667,0.015456,3
levenshtein,410,eval_exact_match,0.923333,0.010274,3
levenshtein,420,eval_exact_match,0.913333,0.015456,3
levenshtein,430,eval_exact_match,0.916667,0.016499,3
levenshtein,440,eval_exact_match,0.911667,0.004714,3
levenshtein,450,eval_exact_match,0.925,0.010801,3
levenshtein,460,eval_exact_match,0.928333,0.020548,3
levenshtein,470,eval_exact_match,0.926667,0.012472,3
levenshtein,480,eval_exact_match,0.931667,0.019293,3
levenshtein,490,eval_exact_match,0.931667,0.019293,3
levenshtein,500,eval_exact_match,0.931667,0.016997,3
levenshtein,510,eval_exact_match,0.936667,0.018409,3
levenshtein,520,eval_exact_match,0.941667,0.006236,3
levenshtein,530,eval_exact_match,0.941667,0.012472,3
levenshtein,540,eval_exact_match,0.931667,0.006236,3
levenshtein,550,eval_exact_match,0.948333,0.016499,3
levenshtein,560,eval_exact_match,0.946667,0.008498,3
levenshtein,570,eval_exact_match,0.941667,0.002357,3
levenshtein,580,eval_exact_match,0.95,0.007071,3
