etykieta,checkpoint,epoka_lub_iteracja,fragment,exact_match,content_f1,order_tau,missing,hallucinated,levenshtein,bleu,rouge_l,failure_rate
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,3,0.084,0.3676769230769231,0.9485761904761905,6.312,6.488,0.3001068965517242,0.1622693627409759,0.3666769230769231,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,4,0.192,0.5901478260869566,0.9513571428571429,4.098,4.104,0.5045076923076923,0.38629129078172536,0.5885478260869565,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,6,0.776,0.947,0.9953714285714286,0.53,0.53,0.9131999999999999,0.9058082187305224,0.9458,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,8,0.944,0.989,1.0,0.11,0.11,0.9826,0.9799717484752143,0.989,0.0
PPO 3000 iter z1234,runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,3,0.588,0.760812515915457,0.9657190476190476,2.432,2.236,0.7138,0.6752089097718985,0.759212515915457,0.0
PPO 3000 iter z1234,runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,4,0.854,0.9333109470508851,0.9910761904761906,0.66,0.688,0.9187428571428571,0.9049689569103534,0.9329109470508852,0.0
PPO 3000 iter z1234,runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,6,0.992,0.9974000000000001,1.0,0.026,0.026,0.997,0.9957692201277883,0.9974000000000001,0.0
PPO 3000 iter z1234,runs/ppo_glowny_long_levenshtein_seed1234/best.pt,2250,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
PPO 3000 iter z2025,runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,3,0.534,0.720215406601512,0.9780825396825397,2.82,2.6,0.6772526315789473,0.6361234781124921,0.718944818366218,0.0
PPO 3000 iter z2025,runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,4,0.832,0.9195499404620148,0.994411111111111,0.818,0.74,0.8996,0.8861682761487015,0.9185499404620148,0.0
PPO 3000 iter z2025,runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,6,0.984,0.9951032258064516,0.9988253968253968,0.044,0.066,0.9928666666666666,0.9926288112572195,0.9947032258064517,0.0
PPO 3000 iter z2025,runs/ppo_glowny_long_levenshtein_seed2025/best.pt,1810,8,0.998,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9994372164478523,0.9996,0.0
PPO 3000 iter z7,runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,3,0.57,0.7600443977591036,0.9789222222222222,2.476,2.13,0.7146,0.6737377973715497,0.7577943977591036,0.0
PPO 3000 iter z7,runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,4,0.852,0.9417000000000001,0.994942857142857,0.576,0.6,0.9259714285714287,0.9181339754242178,0.9413666666666667,0.0
PPO 3000 iter z7,runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,6,0.992,0.9976,1.0,0.024,0.024,0.997,0.9963940081151725,0.9976,0.0
PPO 3000 iter z7,runs/ppo_glowny_long_levenshtein_seed7/best.pt,2250,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
