etykieta,checkpoint,epoka_lub_iteracja,fragment,exact_match,content_f1,order_tau,missing,hallucinated,levenshtein,bleu,rouge_l,failure_rate
SFT e96 epoka 3,runs/sft_e96/epoch_0003.pt,3,3,0.054,0.32744137931034484,0.9432047619047619,6.714,6.792,0.26344210526315787,0.12575373652418637,0.3260413793103448,0.0
SFT e96 epoka 3,runs/sft_e96/epoch_0003.pt,3,4,0.172,0.5861144927536232,0.9523301587301587,4.13,4.216,0.4813934065934066,0.3746693264611382,0.5823144927536232,0.0
SFT e96 epoka 3,runs/sft_e96/epoch_0003.pt,3,5,0.32,0.7456272577996716,0.9813000000000001,2.538,2.596,0.641514832535885,0.5482050936163314,0.7428272577996715,0.0
SFT e96 epoka 3,runs/sft_e96/epoch_0003.pt,3,6,0.682,0.9105999999999999,0.9898682539682538,0.894,0.894,0.8608,0.839980633921569,0.9071999999999999,0.0
SFT e96 epoka 3,runs/sft_e96/epoch_0003.pt,3,8,0.918,0.983,0.9983,0.164,0.184,0.9731000000000001,0.9672849815630141,0.9826,0.0
SFT e96 epoka 4 (start PPO),runs/sft_e96/epoch_0004.pt,4,3,0.084,0.3676769230769231,0.9485761904761905,6.312,6.488,0.3001068965517242,0.1622693627409759,0.3666769230769231,0.0
SFT e96 epoka 4 (start PPO),runs/sft_e96/epoch_0004.pt,4,4,0.192,0.5901478260869566,0.9513571428571429,4.098,4.104,0.5045076923076923,0.38629129078172536,0.5885478260869565,0.0
SFT e96 epoka 4 (start PPO),runs/sft_e96/epoch_0004.pt,4,5,0.418,0.8176,0.9900936507936507,1.824,1.824,0.7324,0.6593514843203718,0.815,0.0
SFT e96 epoka 4 (start PPO),runs/sft_e96/epoch_0004.pt,4,6,0.776,0.947,0.9953714285714286,0.53,0.53,0.9131999999999999,0.9058082187305224,0.9458,0.0
SFT e96 epoka 4 (start PPO),runs/sft_e96/epoch_0004.pt,4,8,0.944,0.989,1.0,0.11,0.11,0.9826,0.9799717484752143,0.989,0.0
SFT e96 epoka 5,runs/sft_e96/epoch_0005.pt,5,3,0.076,0.38920000000000005,0.9264714285714285,6.108,6.108,0.31760000000000005,0.1603670970958476,0.388,0.0
SFT e96 epoka 5,runs/sft_e96/epoch_0005.pt,5,4,0.272,0.6615999999999999,0.9470825396825397,3.384,3.384,0.574,0.477266002825903,0.66,0.0
SFT e96 epoka 5,runs/sft_e96/epoch_0005.pt,5,5,0.536,0.8444,0.9890841269841268,1.556,1.556,0.7906000000000002,0.7242852652755841,0.8423999999999999,0.0
SFT e96 epoka 5,runs/sft_e96/epoch_0005.pt,5,6,0.814,0.9584,0.9967873015873014,0.416,0.416,0.934,0.9245166792918935,0.958,0.0
SFT e96 epoka 5,runs/sft_e96/epoch_0005.pt,5,8,0.974,0.9965999999999999,1.0,0.034,0.034,0.9938,0.9927034056216373,0.9965999999999999,0.0
SFT e96 epoka 7,runs/sft_e96/epoch_0007.pt,7,3,0.172,0.5024,0.9008285714285714,4.976,4.976,0.4341999999999999,0.2844774944699532,0.5017999999999999,0.0
SFT e96 epoka 7,runs/sft_e96/epoch_0007.pt,7,4,0.358,0.7595999999999999,0.9739190476190477,2.404,2.404,0.7008000000000001,0.6016501617719453,0.7586,0.0
SFT e96 epoka 7,runs/sft_e96/epoch_0007.pt,7,5,0.722,0.909,0.9937523809523809,0.91,0.91,0.8776,0.8455371200891723,0.908,0.0
SFT e96 epoka 7,runs/sft_e96/epoch_0007.pt,7,6,0.91,0.9806,0.9967238095238097,0.194,0.194,0.9688000000000001,0.965395990350295,0.98,0.0
SFT e96 epoka 7,runs/sft_e96/epoch_0007.pt,7,8,0.994,0.9994000000000001,1.0,0.006,0.006,0.9988,0.9986413820666126,0.9994000000000001,0.0
SFT e96 epoka 10,runs/sft_e96/epoch_0010.pt,10,3,0.414,0.6934000000000001,0.9443539682539683,3.066,3.066,0.6404,0.5529103239509063,0.6924000000000001,0.0
SFT e96 epoka 10,runs/sft_e96/epoch_0010.pt,10,4,0.582,0.8498,0.9833428571428572,1.502,1.502,0.812,0.7610139767362235,0.849,0.0
SFT e96 epoka 10,runs/sft_e96/epoch_0010.pt,10,5,0.818,0.9576000000000001,0.9991079365079365,0.424,0.424,0.9416000000000001,0.9267714008405264,0.9574000000000001,0.0
SFT e96 epoka 10,runs/sft_e96/epoch_0010.pt,10,6,0.938,0.9905999999999999,0.9988888888888889,0.094,0.094,0.9866000000000001,0.982199512830007,0.9905999999999999,0.0
SFT e96 epoka 10,runs/sft_e96/epoch_0010.pt,10,8,0.996,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9994420163040943,0.9996,0.0
SFT e96 pelny trening (sufit),runs/sft_e96/best.pt,54,3,0.92,0.9588,0.996,0.412,0.412,0.9532,0.9486157883146362,0.9585999999999999,0.0
SFT e96 pelny trening (sufit),runs/sft_e96/best.pt,54,4,0.984,0.9934,1.0,0.066,0.066,0.992,0.9917146401610086,0.9934,0.0
SFT e96 pelny trening (sufit),runs/sft_e96/best.pt,54,5,0.992,0.9988,1.0,0.012,0.012,0.9984,0.9981662451521688,0.9988,0.0
SFT e96 pelny trening (sufit),runs/sft_e96/best.pt,54,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
SFT e96 pelny trening (sufit),runs/sft_e96/best.pt,54,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
