etykieta,checkpoint,epoka_lub_iteracja,fragment,exact_match,content_f1,order_tau,missing,hallucinated,levenshtein,bleu,rouge_l,failure_rate
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,3,0.084,0.3676769230769231,0.9485761904761905,6.312,6.488,0.3001068965517242,0.1622693627409759,0.3666769230769231,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,4,0.192,0.5901478260869566,0.9513571428571429,4.098,4.104,0.5045076923076923,0.38629129078172536,0.5885478260869565,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,6,0.776,0.947,0.9953714285714286,0.53,0.53,0.9131999999999999,0.9058082187305224,0.9458,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,8,0.944,0.989,1.0,0.11,0.11,0.9826,0.9799717484752143,0.989,0.0
SFT e96 epoka 5 (kontrola),runs/sft_e96/epoch_0005.pt,5,3,0.076,0.38920000000000005,0.9264714285714285,6.108,6.108,0.31760000000000005,0.1603670970958476,0.388,0.0
SFT e96 epoka 5 (kontrola),runs/sft_e96/epoch_0005.pt,5,4,0.272,0.6615999999999999,0.9470825396825397,3.384,3.384,0.574,0.477266002825903,0.66,0.0
SFT e96 epoka 5 (kontrola),runs/sft_e96/epoch_0005.pt,5,6,0.814,0.9584,0.9967873015873014,0.416,0.416,0.934,0.9245166792918935,0.958,0.0
SFT e96 epoka 5 (kontrola),runs/sft_e96/epoch_0005.pt,5,8,0.974,0.9965999999999999,1.0,0.034,0.034,0.9938,0.9927034056216373,0.9965999999999999,0.0
SFT e96 epoka 10 (kontrola),runs/sft_e96/epoch_0010.pt,10,3,0.414,0.6934000000000001,0.9443539682539683,3.066,3.066,0.6404,0.5529103239509063,0.6924000000000001,0.0
SFT e96 epoka 10 (kontrola),runs/sft_e96/epoch_0010.pt,10,4,0.582,0.8498,0.9833428571428572,1.502,1.502,0.812,0.7610139767362235,0.849,0.0
SFT e96 epoka 10 (kontrola),runs/sft_e96/epoch_0010.pt,10,6,0.938,0.9905999999999999,0.9988888888888889,0.094,0.094,0.9866000000000001,0.982199512830007,0.9905999999999999,0.0
SFT e96 epoka 10 (kontrola),runs/sft_e96/epoch_0010.pt,10,8,0.996,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9994420163040943,0.9996,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,3,0.92,0.9588,0.996,0.412,0.412,0.9532,0.9486157883146362,0.9585999999999999,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,4,0.984,0.9934,1.0,0.066,0.066,0.992,0.9917146401610086,0.9934,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
PPO Levenshtein z1234 (last),runs/ppo_glowny_levenshtein_seed1234/last.pt,999,3,0.402,0.6484537684537685,0.9441619047619046,3.57,3.282,0.5824758620689655,0.5177878190168438,0.6440942913295855,0.0
PPO Levenshtein z1234 (last),runs/ppo_glowny_levenshtein_seed1234/last.pt,999,4,0.74,0.8799564102564104,0.987547619047619,1.216,1.126,0.8513428571428572,0.8174929534837995,0.8783564102564103,0.0
PPO Levenshtein z1234 (last),runs/ppo_glowny_levenshtein_seed1234/last.pt,999,6,0.966,0.9907999999999999,0.998552380952381,0.092,0.092,0.9872000000000001,0.9853326447879579,0.9905999999999999,0.0
PPO Levenshtein z1234 (last),runs/ppo_glowny_levenshtein_seed1234/last.pt,999,8,0.998,0.9997999999999999,1.0,0.002,0.002,0.9996,0.9997602234735868,0.9997999999999999,0.0
PPO Levenshtein z2025 (last),runs/ppo_glowny_levenshtein_seed2025/last.pt,999,3,0.388,0.6357246116628469,0.966652380952381,3.712,3.358,0.5799,0.5035332181208227,0.6334579449961802,0.0
PPO Levenshtein z2025 (last),runs/ppo_glowny_levenshtein_seed2025/last.pt,999,4,0.724,0.8804325289089995,0.9810222222222222,1.196,1.188,0.8433714285714287,0.8256824526057825,0.8780325289089994,0.0
PPO Levenshtein z2025 (last),runs/ppo_glowny_levenshtein_seed2025/last.pt,999,6,0.964,0.9900000000000001,0.9983714285714286,0.1,0.1,0.9832000000000001,0.9847346720137041,0.9894000000000001,0.0
PPO Levenshtein z2025 (last),runs/ppo_glowny_levenshtein_seed2025/last.pt,999,8,0.994,0.9992000000000001,1.0,0.008,0.008,0.9984,0.9990401183184767,0.9992000000000001,0.0
PPO Levenshtein z7 (last),runs/ppo_glowny_levenshtein_seed7/last.pt,999,3,0.436,0.671147385620915,0.9614809523809524,3.324,3.154,0.613,0.5521071228125781,0.6679120915032679,0.0
PPO Levenshtein z7 (last),runs/ppo_glowny_levenshtein_seed7/last.pt,999,4,0.724,0.8775783198898289,0.9834761904761906,1.212,1.26,0.8464087912087912,0.8185526072355028,0.8756116532231621,0.0
PPO Levenshtein z7 (last),runs/ppo_glowny_levenshtein_seed7/last.pt,999,6,0.964,0.9902000000000001,0.9996190476190476,0.098,0.098,0.9852000000000001,0.9850224471223794,0.9898,0.0
PPO Levenshtein z7 (last),runs/ppo_glowny_levenshtein_seed7/last.pt,999,8,0.996,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9990324269855135,0.9996,0.0
PPO BLEU z1234 (last),runs/ppo_glowny_bleu_seed1234/last.pt,999,3,0.408,0.6475460784313725,0.9576857142857144,3.552,3.42,0.5788,0.5318672256431339,0.6433107843137255,0.0
PPO BLEU z1234 (last),runs/ppo_glowny_bleu_seed1234/last.pt,999,4,0.756,0.8807614379084968,0.9885111111111111,1.194,1.192,0.8492857142857142,0.8324778331908362,0.8801614379084968,0.0
PPO BLEU z1234 (last),runs/ppo_glowny_bleu_seed1234/last.pt,999,6,0.96,0.99,0.9993777777777777,0.1,0.1,0.9848000000000001,0.986920142447737,0.99,0.0
PPO BLEU z1234 (last),runs/ppo_glowny_bleu_seed1234/last.pt,999,8,0.992,0.999,1.0,0.01,0.01,0.998,0.99833143437853,0.999,0.0
PPO BLEU z2025 (last),runs/ppo_glowny_bleu_seed2025/last.pt,999,3,0.386,0.634645751633987,0.9687619047619048,3.67,3.608,0.5707000000000001,0.5233703944495267,0.6328457516339869,0.0
PPO BLEU z2025 (last),runs/ppo_glowny_bleu_seed2025/last.pt,999,4,0.736,0.8896891402714933,0.9823746031746032,1.108,1.068,0.8514857142857143,0.8387716264234181,0.8858891402714931,0.0
PPO BLEU z2025 (last),runs/ppo_glowny_bleu_seed2025/last.pt,999,6,0.96,0.991,0.998552380952381,0.09,0.09,0.9848,0.9873537059550237,0.991,0.0
PPO BLEU z2025 (last),runs/ppo_glowny_bleu_seed2025/last.pt,999,8,0.986,0.9988,1.0,0.012,0.012,0.9974,0.9981325994451228,0.9986,0.0
PPO BLEU z7 (last),runs/ppo_glowny_bleu_seed7/last.pt,999,3,0.368,0.6137475113122173,0.9554206349206348,3.884,3.812,0.5403068965517241,0.4892737507407238,0.6091122171945701,0.0
PPO BLEU z7 (last),runs/ppo_glowny_bleu_seed7/last.pt,999,4,0.712,0.8695641025641025,0.9804095238095237,1.308,1.28,0.828657142857143,0.8127479777355914,0.8683641025641025,0.0
PPO BLEU z7 (last),runs/ppo_glowny_bleu_seed7/last.pt,999,6,0.96,0.9904000000000001,0.9983777777777777,0.096,0.096,0.9833999999999999,0.9865568756552204,0.9896,0.0
PPO BLEU z7 (last),runs/ppo_glowny_bleu_seed7/last.pt,999,8,0.996,0.9996,1.0,0.004,0.004,0.9992000000000001,0.9994420163040943,0.9996,0.0
PPO ROUGE-L z1234 (last),runs/ppo_glowny_rouge_l_seed1234/last.pt,999,3,0.318,0.603879569528961,0.9671238095238095,4.026,3.686,0.5355368421052631,0.46152641693582386,0.6008129028622943,0.0
PPO ROUGE-L z1234 (last),runs/ppo_glowny_rouge_l_seed1234/last.pt,999,4,0.64,0.845914545791326,0.9821714285714286,1.55,1.51,0.8004,0.7731524846092296,0.844114545791326,0.0
PPO ROUGE-L z1234 (last),runs/ppo_glowny_rouge_l_seed1234/last.pt,999,6,0.938,0.9867999999999999,0.9995857142857143,0.132,0.132,0.9798,0.9785195275871554,0.9865999999999999,0.0
PPO ROUGE-L z1234 (last),runs/ppo_glowny_rouge_l_seed1234/last.pt,999,8,0.99,0.999,1.0,0.01,0.01,0.998,0.9985806766744083,0.999,0.0
PPO ROUGE-L z2025 (last),runs/ppo_glowny_rouge_l_seed2025/last.pt,999,3,0.378,0.6462891265597147,0.9613952380952381,3.6,3.28,0.5735714285714285,0.5178731364326068,0.642051871657754,0.0
PPO ROUGE-L z2025 (last),runs/ppo_glowny_rouge_l_seed2025/last.pt,999,4,0.652,0.8552836601307189,0.9685095238095238,1.45,1.44,0.8074,0.7825795587006644,0.8518836601307189,0.0
PPO ROUGE-L z2025 (last),runs/ppo_glowny_rouge_l_seed2025/last.pt,999,6,0.95,0.9872000000000001,0.9989428571428571,0.128,0.128,0.9818,0.9791780266207939,0.9872000000000001,0.0
PPO ROUGE-L z2025 (last),runs/ppo_glowny_rouge_l_seed2025/last.pt,999,8,0.986,0.9984000000000001,1.0,0.016,0.016,0.9967999999999999,0.9975929922511638,0.9984000000000001,0.0
PPO ROUGE-L z7 (last),runs/ppo_glowny_rouge_l_seed7/last.pt,999,3,0.338,0.6062343137254902,0.9601619047619047,4.014,3.634,0.5347999999999999,0.4622497831868038,0.6045676470588235,0.0
PPO ROUGE-L z7 (last),runs/ppo_glowny_rouge_l_seed7/last.pt,999,4,0.694,0.8785725490196079,0.9904095238095239,1.212,1.218,0.8373714285714287,0.8172179799581292,0.876172549019608,0.0
PPO ROUGE-L z7 (last),runs/ppo_glowny_rouge_l_seed7/last.pt,999,6,0.95,0.9884,0.9994206349206349,0.116,0.116,0.9805999999999999,0.9830257535340631,0.9882000000000001,0.0
