etykieta,checkpoint,epoka_lub_iteracja,fragment,exact_match,content_f1,order_tau,missing,hallucinated,levenshtein,bleu,rouge_l,failure_rate
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,3,0.084,0.3676769230769231,0.9485761904761905,6.312,6.488,0.3001068965517242,0.1622693627409759,0.3666769230769231,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,4,0.192,0.5901478260869566,0.9513571428571429,4.098,4.104,0.5045076923076923,0.38629129078172536,0.5885478260869565,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,5,0.418,0.8176,0.9900936507936507,1.824,1.824,0.7324,0.6593514843203718,0.815,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,6,0.776,0.947,0.9953714285714286,0.53,0.53,0.9131999999999999,0.9058082187305224,0.9458,0.0
SFT e96 epoka 4 (start),runs/sft_e96/epoch_0004.pt,4,8,0.944,0.989,1.0,0.11,0.11,0.9826,0.9799717484752143,0.989,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,3,0.92,0.9588,0.996,0.412,0.412,0.9532,0.9486157883146362,0.9585999999999999,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,4,0.984,0.9934,1.0,0.066,0.066,0.992,0.9917146401610086,0.9934,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,5,0.992,0.9988,1.0,0.012,0.012,0.9984,0.9981662451521688,0.9988,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
SFT e96 sufit,runs/sft_e96/best.pt,54,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
PPO Levenshtein z1234 (1000 iter),runs/ppo_glowny_levenshtein_seed1234/best.pt,840,3,0.396,0.6349675605665464,0.9546349206349207,3.68,3.494,0.575855980861244,0.5051268185619605,0.6318263840959581,0.0
PPO Levenshtein z1234 (1000 iter),runs/ppo_glowny_levenshtein_seed1234/best.pt,840,4,0.712,0.8681849673202614,0.9850841269841271,1.324,1.294,0.8363142857142857,0.8106937087747238,0.8669849673202614,0.0
PPO Levenshtein z1234 (1000 iter),runs/ppo_glowny_levenshtein_seed1234/best.pt,840,5,0.914,0.9755333333333333,0.9982000000000001,0.246,0.242,0.9652,0.957501197807293,0.9749333333333334,0.0
PPO Levenshtein z1234 (1000 iter),runs/ppo_glowny_levenshtein_seed1234/best.pt,840,6,0.956,0.9905999999999999,0.9994285714285714,0.094,0.094,0.985,0.9840234920957582,0.9902000000000001,0.0
PPO Levenshtein z1234 (1000 iter),runs/ppo_glowny_levenshtein_seed1234/best.pt,840,8,0.996,0.9984666666666667,1.0,0.018,0.002,0.998,0.9977602234735868,0.9984666666666667,0.0
PPO Levenshtein z2025 (1000 iter),runs/ppo_glowny_levenshtein_seed2025/best.pt,840,3,0.386,0.6520404337492574,0.9673936507936507,3.536,3.25,0.5886,0.52610445069527,0.6487904337492573,0.0
PPO Levenshtein z2025 (1000 iter),runs/ppo_glowny_levenshtein_seed2025/best.pt,840,4,0.724,0.8849230769230769,0.9832952380952381,1.156,1.134,0.8482000000000001,0.8270043108018615,0.8829230769230769,0.0
PPO Levenshtein z2025 (1000 iter),runs/ppo_glowny_levenshtein_seed2025/best.pt,840,5,0.924,0.9770047619047619,0.9966,0.232,0.226,0.9676181818181818,0.9601786299155686,0.976204761904762,0.0
PPO Levenshtein z2025 (1000 iter),runs/ppo_glowny_levenshtein_seed2025/best.pt,840,6,0.962,0.9908,0.9987333333333334,0.092,0.092,0.9846,0.9848769262123265,0.9906000000000001,0.0
PPO Levenshtein z2025 (1000 iter),runs/ppo_glowny_levenshtein_seed2025/best.pt,840,8,0.996,0.9997999999999999,1.0,0.002,0.002,0.9992000000000001,0.9993314820771889,0.9996,0.0
PPO Levenshtein z7 (1000 iter),runs/ppo_glowny_levenshtein_seed7/best.pt,900,3,0.38,0.6201793103448277,0.9528190476190476,3.786,3.864,0.5552526315789473,0.4929283136272628,0.6171793103448276,0.0
PPO Levenshtein z7 (1000 iter),runs/ppo_glowny_levenshtein_seed7/best.pt,900,4,0.74,0.8800671615099128,0.9847,1.172,1.318,0.8544031968031968,0.8301286710698426,0.8786671615099129,0.0
PPO Levenshtein z7 (1000 iter),runs/ppo_glowny_levenshtein_seed7/best.pt,900,5,0.892,0.9663777777777778,0.9953857142857143,0.338,0.334,0.9515999999999999,0.9438678627040111,0.9653777777777778,0.0
PPO Levenshtein z7 (1000 iter),runs/ppo_glowny_levenshtein_seed7/best.pt,900,6,0.97,0.9924000000000001,0.9996761904761904,0.076,0.076,0.9878000000000001,0.9875972323399294,0.992,0.0
PPO Levenshtein z7 (1000 iter),runs/ppo_glowny_levenshtein_seed7/best.pt,900,8,0.992,0.9992000000000001,1.0,0.008,0.008,0.9984000000000001,0.9982595954897531,0.9992000000000001,0.0
PPO BLEU z1234 (1000 iter),runs/ppo_glowny_bleu_seed1234/best.pt,880,3,0.398,0.628844028520499,0.964547619047619,3.758,3.492,0.5658,0.5028128227178247,0.6270440285204991,0.0
PPO BLEU z1234 (1000 iter),runs/ppo_glowny_bleu_seed1234/best.pt,880,4,0.732,0.8793119658119658,0.982147619047619,1.212,1.162,0.8462,0.8285898157678793,0.8777119658119659,0.0
PPO BLEU z1234 (1000 iter),runs/ppo_glowny_bleu_seed1234/best.pt,880,5,0.922,0.9794,0.996788888888889,0.206,0.206,0.9692000000000001,0.9648495325189449,0.9782000000000001,0.0
PPO BLEU z1234 (1000 iter),runs/ppo_glowny_bleu_seed1234/best.pt,880,6,0.966,0.9915999999999999,0.9997777777777779,0.084,0.084,0.9863999999999999,0.9890056363383181,0.9914,0.0
PPO BLEU z1234 (1000 iter),runs/ppo_glowny_bleu_seed1234/best.pt,880,8,0.99,0.9986,1.0,0.014,0.014,0.9978,0.9981236412093263,0.9986,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,3,0.354,0.6041535947712419,0.9774047619047619,3.972,3.898,0.543,0.47698695595756896,0.6019535947712418,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,4,0.69,0.8580897435897435,0.9825047619047619,1.434,1.366,0.8208571428571427,0.7962752128043831,0.8578897435897436,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,5,0.844,0.9602444444444446,0.9937777777777779,0.416,0.372,0.942,0.9347776261149293,0.9594444444444444,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,6,0.972,0.9934,0.9995238095238095,0.066,0.066,0.9887999999999999,0.9912987768296514,0.9934,0.0
PPO BLEU z2025 (1000 iter),runs/ppo_glowny_bleu_seed2025/best.pt,940,8,0.986,0.9965636363636363,1.0,0.036,0.018,0.9956,0.9949817558946839,0.9965636363636363,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,3,0.36,0.6215579979360166,0.9597380952380952,3.796,3.748,0.5502,0.49146099669225785,0.6175579979360165,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,4,0.732,0.8855641025641026,0.9886190476190476,1.14,1.168,0.8459142857142858,0.8346256730879893,0.8833641025641025,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,5,0.912,0.9723686202686204,0.9964952380952382,0.282,0.268,0.9614136363636364,0.9547334076113657,0.9715686202686203,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,6,0.968,0.9912000000000001,0.9989333333333333,0.088,0.088,0.9858,0.9873128940947042,0.991,0.0
PPO BLEU z7 (1000 iter),runs/ppo_glowny_bleu_seed7/best.pt,980,8,0.998,0.9996,1.0,0.004,0.004,0.9994,0.9992778862084926,0.9996,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,3,0.364,0.6372921568627451,0.9719507936507937,3.706,3.332,0.5764,0.4988684086784987,0.6350568627450981,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,4,0.672,0.8622119658119658,0.9779761904761903,1.382,1.364,0.8152,0.792275579644398,0.8597897435897435,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,5,0.874,0.9628764705882352,0.9926714285714284,0.372,0.374,0.9492285714285714,0.9370038426421583,0.9622764705882353,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,6,0.95,0.99,0.9997777777777779,0.1,0.1,0.983,0.9857738377119822,0.9897999999999999,0.0
PPO ROUGE-L z1234 (1000 iter),runs/ppo_glowny_rouge_l_seed1234/best.pt,800,8,0.986,0.9984,1.0,0.016,0.016,0.9967999999999999,0.9972530675389326,0.9984,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,3,0.292,0.5808,0.9627333333333333,4.196,4.176,0.5103,0.43647260309326963,0.5786,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,4,0.666,0.8473999999999999,0.9799952380952381,1.526,1.526,0.8046,0.7725259811873598,0.8452000000000001,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,5,0.814,0.9466000000000001,0.9950999999999999,0.534,0.534,0.9224000000000001,0.9069558980828281,0.9453999999999999,0.0
PPO ROUGE-L z2025 (1000 iter),runs/ppo_glowny_rouge_l_seed2025/best.pt,600,6,0.948,0.9877999999999999,0.9992873015873015,0.122,0.122,0.9794,0.977040642653808,0.9873999999999999,0.0
